diputado,bloque,proyecto,voto
D003,Unión por la Patria,privatizaciones,ausente
D003,Unión por la Patria,retenciones_agro,contra
D003,Unión por la Patria,coparticipacion,favor
D003,Unión por la Patria,obra_publica_prov,favor
D003,Unión por la Patria,emergencia_jubilados,favor
D003,Unión por la Patria,financiamiento_univ,favor
D003,Unión por la Patria,salud_emergencia,favor
D003,Unión por la Patria,boleta_unica,favor
D003,Unión por la Patria,ficha_limpia,ausente
D003,Unión por la Patria,reforma_politica,contra
D003,Unión por la Patria,dnu_delegadas,contra
D003,Unión por la Patria,tarifas_energia,contra
D004,Unión por la Patria,ley_bases,contra
D004,Unión por la Patria,reforma_laboral,contra
D004,Unión por la Patria,presupuesto,contra
D004,Unión por la Patria,privatizaciones,contra
D004,Unión por la Patria,retenciones_agro,contra
D004,Unión por la Patria,coparticipacion,favor
D004,Unión por la Patria,obra_publica_prov,favor
D004,Unión por la Patria,emergencia_jubilados,favor
D004,Unión por la Patria,financiamiento_univ,favor
D004,Unión por la Patria,salud_emergencia,favor
D004,Unión por la Patria,boleta_unica,favor
D004,Unión por la Patria,ficha_limpia,contra
D004,Unión por la Patria,reforma_politica,contra
D004,Unión por la Patria,dnu_delegadas,contra
D004,Unión por la Patria,tarifas_energia,contra
D005,Unión por la Patria,ley_bases,contra
D005,Unión por la Patria,reforma_laboral,contra
D005,Unión por la Patria,presupuesto,contra
D005,Unión por la Patria,privatizaciones,contra
D005,Unión por la Patria,retenciones_agro,favor
D005,Unión por la Patria,coparticipacion,favor
D005,Unión por la Patria,obra_publica_prov,favor
D005,Unión por la Patria,emergencia_jubilados,favor
D005,Unión por la Patria,financiamiento_univ,favor
D005,Unión por la Patria,salud_emergencia,favor
D005,Unión por la Patria,boleta_unica,favor
D005,Unión por la Patria,ficha_limpia,contra
D005,Unión por la Patria,reforma_politica,favor
D005,Unión por la Patria,dnu_delegadas,contra
D005,Unión por la Patria,tarifas_energia,contra
D006,Unión por la Patria,ley_bases,contra
D006,Unión por la Patria,reforma_laboral,ausente
D006,Unión por la Patria,presupuesto,contra
D006,Unión por la Patria,privatizaciones,contra
D006,Unión por la Patria,retenciones_agro,contra
D006,Unión por la Patria,coparticipacion,favor
D006,Unión por la Patria,obra_publica_prov,favor
D006,Unión por la Patria,emergencia_jubilados,favor
D006,Unión por la Patria,financiamiento_univ,favor
D006,Unión por la Patria,salud_emergencia,ausente
D006,Unión por la Patria,boleta_unica,contra
D006,Unión por la Patria,ficha_limpia,favor
D006,Unión por la Patria,reforma_politica,favor
D006,Unión por la Patria,dnu_delegadas,contra
D006,Unión por la Patria,tarifas_energia,ausente
D007,Unión por la Patria,ley_bases,ausente
D007,Unión por la Patria,reforma_laboral,contra
D007,Unión por la Patria,presupuesto,contra
D007,Unión por la Patria,privatizaciones,contra
D007,Unión por la Patria,retenciones_agro,contra
D007,Unión por la Patria,coparticipacion,contra
D007,Unión por la Patria,obra_publica_prov,favor
D007,Unión por la Patria,emergencia_jubilados,favor
D007,Unión por la Patria,financiamiento_univ,favor
D007,Unión por la Patria,salud_emergencia,favor
D007,Unión por la Patria,boleta_unica,favor
D007,Unión por la Patria,ficha_limpia,contra
D007,Unión por la Patria,reforma_politica,ausente
D007,Unión por la Patria,dnu_delegadas,contra
D007,Unión por la Patria,tarifas_energia,contra
D008,Unión por la Patria,ley_bases,contra
D008,Unión por la Patria,reforma_laboral,contra
D008,Unión por la Patria,presupuesto,favor
D008,Unión por la Patria,privatizaciones,contra
D008,Unión por la Patria,retenciones_agro,contra
D008,Unión por la Patria,coparticipacion,favor
D008,Unión por la Patria,obra_publica_prov,contra
D008,Unión por la Patria,emergencia_jubilados,favor
D008,Unión por la Patria,financiamiento_univ,favor
D008,Unión por la Patria,salud_emergencia,favor
D008,Unión por la Patria,boleta_unica,contra
D008,Unión por la Patria,ficha_limpia,contra
D008,Unión por la Patria,reforma_politica,contra
D008,Unión por la Patria,dnu_delegadas,contra
D008,Unión por la Patria,tarifas_energia,contra
D009,Unión por la Patria,ley_bases,contra
D009,Unión por la Patria,reforma_laboral,contra
D009,Unión por la Patria,presupuesto,contra
D009,Unión por la Patria,privatizaciones,contra
D009,Unión por la Patria,retenciones_agro,contra
D009,Unión por la Patria,coparticipacion,ausente
D009,Unión por la Patria,obra_publica_prov,favor
D009,Unión por la Patria,emergencia_jubilados,ausente
D009,Unión por la Patria,financiamiento_univ,favor
D009,Unión por la Patria,salud_emergencia,favor
D009,Unión por la Patria,boleta_unica,favor
D009,Unión por la Patria,ficha_limpia,favor
D009,Unión por la Patria,reforma_politica,favor
D009,Unión por la Patria,dnu_delegadas,contra
D009,Unión por la Patria,tarifas_energia,contra
D010,Unión por la Patria,ley_bases,contra
D010,Unión por la Patria,reforma_laboral,contra
D010,Unión por la Patria,presupuesto,contra
D010,Unión por la Patria,privatizaciones,contra
D010,Unión por la Patria,retenciones_agro,contra
D010,Unión por la Patria,coparticipacion,contra
D010,Unión por la Patria,obra_publica_prov,favor
D010,Unión por la Patria,emergencia_jubilados,favor
D010,Unión por la Patria,financiamiento_univ,favor
D010,Unión por la Patria,salud_emergencia,favor
D010,Unión por la Patria,boleta_unica,favor
D010,Unión por la Patria,ficha_limpia,contra
D010,Unión por la Patria,reforma_politica,contra
D010,Unión por la Patria,dnu_delegadas,contra
D010,Unión por la Patria,tarifas_energia,contra
D011,Unión por la Patria,ley_bases,contra
D011,Unión por la Patria,reforma_laboral,contra
D011,Unión por la Patria,presupuesto,contra
D011,Unión por la Patria,privatizaciones,favor
D011,Unión por la Patria,retenciones_agro,favor
D011,Unión por la Patria,coparticipacion,favor
D011,Unión por la Patria,obra_publica_prov,favor
D011,Unión por la Patria,emergencia_jubilados,favor
D011,Unión por la Patria,financiamiento_univ,favor
D011,Unión por la Patria,salud_emergencia,favor
D011,Unión por la Patria,boleta_unica,favor
D011,Unión por la Patria,ficha_limpia,contra
D011,Unión por la Patria,reforma_politica,favor
D011,Unión por la Patria,dnu_delegadas,contra
D011,Unión por la Patria,tarifas_energia,contra
D012,Unión por la Patria,ley_bases,contra
D012,Unión por la Patria,reforma_laboral,contra
D012,Unión por la Patria,presupuesto,contra
D012,Unión por la Patria,privatizaciones,contra
D012,Unión por la Patria,retenciones_agro,contra
D012,Unión por la Patria,coparticipacion,contra
D012,Unión por la Patria,obra_publica_prov,favor
D012,Unión por la Patria,emergencia_jubilados,favor
D012,Unión por la Patria,financiamiento_univ,favor
D012,Unión por la Patria,salud_emergencia,favor
D012,Unión por la Patria,boleta_unica,favor
D012,Unión por la Patria,ficha_limpia,contra
D012,Unión por la Patria,reforma_politica,favor
D012,Unión por la Patria,dnu_delegadas,contra
D012,Unión por la Patria,tarifas_energia,contra
D013,Unión por la Patria,ley_bases,ausente
D013,Unión por la Patria,reforma_laboral,contra
D013,Unión por la Patria,presupuesto,contra
D013,Unión por la Patria,privatizaciones,contra
D013,Unión por la Patria,retenciones_agro,contra
D013,Unión por la Patria,coparticipacion,favor
D013,Unión por la Patria,obra_publica_prov,favor
D013,Unión por la Patria,emergencia_jubilados,favor
D013,Unión por la Patria,financiamiento_univ,favor
D013,Unión por la Patria,salud_emergencia,favor
D013,Unión por la Patria,boleta_unica,favor
D013,Unión por la Patria,ficha_limpia,contra
D013,Unión por la Patria,reforma_politica,favor
D013,Unión por la Patria,dnu_delegadas,contra
D013,Unión por la Patria,tarifas_energia,contra
D014,Unión por la Patria,ley_bases,contra
D014,Unión por la Patria,reforma_laboral,contra
D014,Unión por la Patria,presupuesto,contra
D014,Unión por la Patria,privatizaciones,contra
D014,Unión por la Patria,retenciones_agro,contra
D014,Unión por la Patria,coparticipacion,favor
D014,Unión por la Patria,obra_publica_prov,favor
D014,Unión por la Patria,emergencia_jubilados,favor
D014,Unión por la Patria,financiamiento_univ,favor
D014,Unión por la Patria,salud_emergencia,favor
D014,Unión por la Patria,boleta_unica,favor
D014,Unión por la Patria,ficha_limpia,contra
D014,Unión por la Patria,reforma_politica,contra
D014,Unión por la Patria,dnu_delegadas,contra
D014,Unión por la Patria,tarifas_energia,contra
D015,Unión por la Patria,ley_bases,contra
D015,Unión por la Patria,reforma_laboral,contra
D015,Unión por la Patria,presupuesto,contra
D015,Unión por la Patria,privatizaciones,contra
D015,Unión por la Patria,retenciones_agro,contra
D015,Unión por la Patria,coparticipacion,favor
D015,Unión por la Patria,obra_publica_prov,favor
D015,Unión por la Patria,emergencia_jubilados,favor
D015,Unión por la Patria,financiamiento_univ,favor
D015,Unión por la Patria,salud_emergencia,ausente
D015,Unión por la Patria,boleta_unica,favor
D015,Unión por la Patria,ficha_limpia,favor
D015,Unión por la Patria,reforma_politica,ausente
D015,Unión por la Patria,dnu_delegadas,ausente
D015,Unión por la Patria,tarifas_energia,contra
D016,Unión por la Patria,ley_bases,contra
D016,Unión por la Patria,reforma_laboral,ausente
D016,Unión por la Patria,presupuesto,contra
D016,Unión por la Patria,privatizaciones,contra
D016,Unión por la Patria,retenciones_agro,contra
D016,Unión por la Patria,coparticipacion,favor
D016,Unión por la Patria,obra_publica_prov,favor
D016,Unión por la Patria,emergencia_jubilados,favor
D016,Unión por la Patria,financiamiento_univ,favor
D016,Unión por la Patria,salud_emergencia,favor
D016,Unión por la Patria,boleta_unica,contra
D016,Unión por la Patria,ficha_limpia,favor
D016,Unión por la Patria,reforma_politica,favor
D016,Unión por la Patria,dnu_delegadas,favor
D016,Unión por la Patria,tarifas_energia,contra
D017,Unión por la Patria,ley_bases,contra
D017,Unión por la Patria,reforma_laboral,contra
D017,Unión por la Patria,presupuesto,ausente
D017,Unión por la Patria,privatizaciones,contra
D017,Unión por la Patria,retenciones_agro,contra
D017,Unión por la Patria,coparticipacion,contra
D017,Unión por la Patria,obra_publica_prov,favor
D017,Unión por la Patria,emergencia_jubilados,favor
D017,Unión por la Patria,financiamiento_univ,favor
D017,Unión por la Patria,salud_emergencia,favor
D017,Unión por la Patria,boleta_unica,contra
D017,Unión por la Patria,ficha_limpia,favor
D017,Unión por la Patria,reforma_politica,contra
D017,Unión por la Patria,dnu_delegadas,contra
D017,Unión por la Patria,tarifas_energia,contra
D018,Unión por la Patria,ley_bases,contra
D018,Unión por la Patria,reforma_laboral,contra
D018,Unión por la Patria,presupuesto,contra
D018,Unión por la Patria,privatizaciones,ausente
D018,Unión por la Patria,retenciones_agro,contra
D018,Unión por la Patria,coparticipacion,favor
D018,Unión por la Patria,obra_publica_prov,favor
D018,Unión por la Patria,emergencia_jubilados,favor
D018,Unión por la Patria,financiamiento_univ,favor
D018,Unión por la Patria,salud_emergencia,favor
D018,Unión por la Patria,boleta_unica,favor
D018,Unión por la Patria,ficha_limpia,favor
D018,Unión por la Patria,reforma_politica,favor
D018,Unión por la Patria,dnu_delegadas,contra
D018,Unión por la Patria,tarifas_energia,contra
D019,Unión por la Patria,ley_bases,contra
D019,Unión por la Patria,reforma_laboral,contra
D019,Unión por la Patria,presupuesto,contra
D019,Unión por la Patria,privatizaciones,contra
D019,Unión por la Patria,retenciones_agro,contra
D019,Unión por la Patria,coparticipacion,favor
D019,Unión por la Patria,obra_publica_prov,favor
D019,Unión por la Patria,emergencia_jubilados,favor
D019,Unión por la Patria,financiamiento_univ,favor
D019,Unión por la Patria,salud_emergencia,ausente
D019,Unión por la Patria,boleta_unica,favor
D019,Unión por la Patria,ficha_limpia,favor
D019,Unión por la Patria,reforma_politica,contra
D019,Unión por la Patria,dnu_delegadas,contra
D019,Unión por la Patria,tarifas_energia,contra
D020,Unión por la Patria,ley_bases,contra
D020,Unión por la Patria,reforma_laboral,contra
D020,Unión por la Patria,presupuesto,contra
D020,Unión por la Patria,privatizaciones,contra
D020,Unión por la Patria,retenciones_agro,contra
D020,Unión por la Patria,coparticipacion,favor
D020,Unión por la Patria,obra_publica_prov,favor
D020,Unión por la Patria,emergencia_jubilados,favor
D020,Unión por la Patria,financiamiento_univ,favor
D020,Unión por la Patria,salud_emergencia,favor
D020,Unión por la Patria,boleta_unica,favor
D020,Unión por la Patria,ficha_limpia,contra
D020,Unión por la Patria,reforma_politica,favor
D020,Unión por la Patria,dnu_delegadas,contra
D020,Unión por la Patria,tarifas_energia,contra
D021,Unión por la Patria,ley_bases,contra
D021,Unión por la Patria,reforma_laboral,contra
D021,Unión por la Patria,presupuesto,ausente
D021,Unión por la Patria,privatizaciones,contra
D021,Unión por la Patria,retenciones_agro,favor
D021,Unión por la Patria,coparticipacion,favor
D021,Unión por la Patria,obra_publica_prov,favor
D021,Unión por la Patria,emergencia_jubilados,ausente
D021,Unión por la Patria,financiamiento_univ,favor
D021,Unión por la Patria,salud_emergencia,ausente
D021,Unión por la Patria,boleta_unica,favor
D021,Unión por la Patria,ficha_limpia,contra
D021,Unión por la Patria,reforma_politica,contra
D021,Unión por la Patria,dnu_delegadas,contra
D021,Unión por la Patria,tarifas_energia,contra
D022,Unión por la Patria,ley_bases,favor
D022,Unión por la Patria,reforma_laboral,contra
D022,Unión por la Patria,presupuesto,favor
D022,Unión por la Patria,privatizaciones,contra
D022,Unión por la Patria,retenciones_agro,contra
D022,Unión por la Patria,coparticipacion,favor
D022,Unión por la Patria,obra_publica_prov,favor
D022,Unión por la Patria,emergencia_jubilados,favor
D022,Unión por la Patria,financiamiento_univ,favor
D022,Unión por la Patria,salud_emergencia,favor
D022,Unión por la Patria,boleta_unica,favor
D022,Unión por la Patria,ficha_limpia,favor
D022,Unión por la Patria,reforma_politica,ausente
D022,Unión por la Patria,dnu_delegadas,favor
D022,Unión por la Patria,tarifas_energia,contra
D023,Unión por la Patria,ley_bases,contra
D023,Unión por la Patria,reforma_laboral,contra
D023,Unión por la Patria,presupuesto,contra
D023,Unión por la Patria,privatizaciones,contra
D023,Unión por la Patria,retenciones_agro,contra
D023,Unión por la Patria,coparticipacion,favor
D023,Unión por la Patria,obra_publica_prov,ausente
D023,Unión por la Patria,emergencia_jubilados,favor
D023,Unión por la Patria,financiamiento_univ,favor
D023,Unión por la Patria,salud_emergencia,ausente
D023,Unión por la Patria,boleta_unica,favor
D023,Unión por la Patria,ficha_limpia,contra
D023,Unión por la Patria,reforma_politica,contra
D023,Unión por la Patria,dnu_delegadas,contra
D023,Unión por la Patria,tarifas_energia,contra
D024,Unión por la Patria,ley_bases,contra
D024,Unión por la Patria,reforma_laboral,contra
D024,Unión por la Patria,presupuesto,contra
D024,Unión por la Patria,privatizaciones,contra
D024,Unión por la Patria,retenciones_agro,favor
D024,Unión por la Patria,coparticipacion,favor
D024,Unión por la Patria,obra_publica_prov,favor
D024,Unión por la Patria,emergencia_jubilados,favor
D024,Unión por la Patria,financiamiento_univ,favor
D024,Unión por la Patria,salud_emergencia,favor
D024,Unión por la Patria,boleta_unica,favor
D024,Unión por la Patria,ficha_limpia,contra
D024,Unión por la Patria,reforma_politica,contra
D024,Unión por la Patria,dnu_delegadas,contra
D024,Unión por la Patria,tarifas_energia,contra
D025,Unión por la Patria,ley_bases,contra
D025,Unión por la Patria,reforma_laboral,contra
D025,Unión por la Patria,presupuesto,contra
D025,Unión por la Patria,privatizaciones,contra
D025,Unión por la Patria,retenciones_agro,contra
D025,Unión por la Patria,coparticipacion,contra
D025,Unión por la Patria,obra_publica_prov,favor
D025,Unión por la Patria,emergencia_jubilados,favor
D025,Unión por la Patria,financiamiento_univ,contra
D025,Unión por la Patria,salud_emergencia,favor
D025,Unión por la Patria,boleta_unica,favor
D025,Unión por la Patria,ficha_limpia,contra
D025,Unión por la Patria,reforma_politica,contra
D025,Unión por la Patria,dnu_delegadas,contra
D025,Unión por la Patria,tarifas_energia,contra
D026,Unión por la Patria,ley_bases,contra
D026,Unión por la Patria,reforma_laboral,contra
D026,Unión por la Patria,presupuesto,contra
D026,Unión por la Patria,privatizaciones,contra
D026,Unión por la Patria,retenciones_agro,contra
D026,Unión por la Patria,coparticipacion,favor
D026,Unión por la Patria,obra_publica_prov,favor
D026,Unión por la Patria,emergencia_jubilados,favor
D026,Unión por la Patria,financiamiento_univ,favor
D026,Unión por la Patria,salud_emergencia,favor
D026,Unión por la Patria,boleta_unica,ausente
D026,Unión por la Patria,ficha_limpia,contra
D026,Unión por la Patria,reforma_politica,favor
D026,Unión por la Patria,dnu_delegadas,contra
D026,Unión por la Patria,tarifas_energia,contra
D027,Unión por la Patria,ley_bases,contra
D027,Unión por la Patria,reforma_laboral,contra
D027,Unión por la Patria,presupuesto,contra
D027,Unión por la Patria,privatizaciones,contra
D027,Unión por la Patria,retenciones_agro,favor
D027,Unión por la Patria,coparticipacion,favor
D027,Unión por la Patria,obra_publica_prov,favor
D027,Unión por la Patria,emergencia_jubilados,favor
D027,Unión por la Patria,financiamiento_univ,favor
D027,Unión por la Patria,salud_emergencia,favor
D027,Unión por la Patria,boleta_unica,favor
D027,Unión por la Patria,ficha_limpia,contra
D027,Unión por la Patria,reforma_politica,contra
D027,Unión por la Patria,dnu_delegadas,contra
D027,Unión por la Patria,tarifas_energia,contra
D028,Unión por la Patria,ley_bases,contra
D028,Unión por la Patria,reforma_laboral,contra
D028,Unión por la Patria,presupuesto,contra
D028,Unión por la Patria,privatizaciones,ausente
D028,Unión por la Patria,retenciones_agro,contra
D028,Unión por la Patria,coparticipacion,favor
D028,Unión por la Patria,obra_publica_prov,favor
D028,Unión por la Patria,emergencia_jubilados,favor
D028,Unión por la Patria,financiamiento_univ,favor
D028,Unión por la Patria,salud_emergencia,favor
D028,Unión por la Patria,boleta_unica,ausente
D028,Unión por la Patria,ficha_limpia,favor
D028,Unión por la Patria,reforma_politica,favor
D028,Unión por la Patria,dnu_delegadas,contra
D028,Unión por la Patria,tarifas_energia,ausente
D029,Unión por la Patria,ley_bases,contra
D029,Unión por la Patria,reforma_laboral,contra
D029,Unión por la Patria,presupuesto,contra
D029,Unión por la Patria,privatizaciones,contra
D029,Unión por la Patria,retenciones_agro,contra
D029,Unión por la Patria,coparticipacion,favor
D029,Unión por la Patria,obra_publica_prov,favor
D029,Unión por la Patria,emergencia_jubilados,favor
D029,Unión por la Patria,financiamiento_univ,favor
D029,Unión por la Patria,salud_emergencia,favor
D029,Unión por la Patria,boleta_unica,favor
D029,Unión por la Patria,ficha_limpia,contra
D029,Unión por la Patria,reforma_politica,contra
D029,Unión por la Patria,dnu_delegadas,contra
D029,Unión por la Patria,tarifas_energia,contra
D030,Unión por la Patria,ley_bases,contra
D030,Unión por la Patria,reforma_laboral,ausente
D030,Unión por la Patria,presupuesto,contra
D030,Unión por la Patria,privatizaciones,contra
D030,Unión por la Patria,retenciones_agro,contra
D030,Unión por la Patria,coparticipacion,favor
D030,Unión por la Patria,obra_publica_prov,ausente
D030,Unión por la Patria,emergencia_jubilados,favor
D030,Unión por la Patria,financiamiento_univ,favor
D030,Unión por la Patria,salud_emergencia,favor
D030,Unión por la Patria,boleta_unica,contra
D030,Unión por la Patria,ficha_limpia,favor
D030,Unión por la Patria,reforma_politica,contra
D030,Unión por la Patria,dnu_delegadas,contra
D030,Unión por la Patria,tarifas_energia,contra
D031,Unión por la Patria,ley_bases,contra
D031,Unión por la Patria,reforma_laboral,contra
D031,Unión por la Patria,presupuesto,favor
D031,Unión por la Patria,privatizaciones,contra
D031,Unión por la Patria,retenciones_agro,contra
D031,Unión por la Patria,coparticipacion,favor
D031,Unión por la Patria,obra_publica_prov,favor
D031,Unión por la Patria,emergencia_jubilados,ausente
D031,Unión por la Patria,financiamiento_univ,favor
D031,Unión por la Patria,salud_emergencia,favor
D031,Unión por la Patria,boleta_unica,contra
D031,Unión por la Patria,ficha_limpia,favor
D031,Unión por la Patria,reforma_politica,ausente
D031,Unión por la Patria,dnu_delegadas,contra
D031,Unión por la Patria,tarifas_energia,contra
D032,Unión por la Patria,ley_bases,contra
D032,Unión por la Patria,reforma_laboral,contra
D032,Unión por la Patria,presupuesto,contra
D032,Unión por la Patria,privatizaciones,contra
D032,Unión por la Patria,retenciones_agro,contra
D032,Unión por la Patria,coparticipacion,favor
D032,Unión por la Patria,obra_publica_prov,favor
D032,Unión por la Patria,emergencia_jubilados,favor
D032,Unión por la Patria,financiamiento_univ,favor
D032,Unión por la Patria,salud_emergencia,ausente
D032,Unión por la Patria,boleta_unica,favor
D032,Unión por la Patria,ficha_limpia,favor
D032,Unión por la Patria,reforma_politica,contra
D032,Unión por la Patria,dnu_delegadas,contra
D032,Unión por la Patria,tarifas_energia,contra
D033,Unión por la Patria,ley_bases,contra
D033,Unión por la Patria,reforma_laboral,contra
D033,Unión por la Patria,presupuesto,contra
D033,Unión por la Patria,privatizaciones,contra
D033,Unión por la Patria,retenciones_agro,favor
D033,Unión por la Patria,coparticipacion,contra
D033,Unión por la Patria,obra_publica_prov,favor
D033,Unión por la Patria,emergencia_jubilados,favor
D033,Unión por la Patria,financiamiento_univ,favor
D033,Unión por la Patria,salud_emergencia,contra
D033,Unión por la Patria,boleta_unica,favor
D033,Unión por la Patria,ficha_limpia,contra
D033,Unión por la Patria,reforma_politica,favor
D033,Unión por la Patria,dnu_delegadas,contra
D033,Unión por la Patria,tarifas_energia,contra
D034,Unión por la Patria,ley_bases,contra
D034,Unión por la Patria,reforma_laboral,contra
D034,Unión por la Patria,presupuesto,contra
D034,Unión por la Patria,privatizaciones,contra
D034,Unión por la Patria,retenciones_agro,contra
D034,Unión por la Patria,coparticipacion,ausente
D034,Unión por la Patria,obra_publica_prov,favor
D034,Unión por la Patria,emergencia_jubilados,favor
D034,Unión por la Patria,financiamiento_univ,ausente
D034,Unión por la Patria,salud_emergencia,favor
D034,Unión por la Patria,boleta_unica,favor
D034,Unión por la Patria,ficha_limpia,favor
D034,Unión por la Patria,reforma_politica,favor
D034,Unión por la Patria,dnu_delegadas,contra
D034,Unión por la Patria,tarifas_energia,contra
D035,Unión por la Patria,ley_bases,contra
D035,Unión por la Patria,reforma_laboral,contra
D035,Unión por la Patria,presupuesto,contra
D035,Unión por la Patria,privatizaciones,contra
D035,Unión por la Patria,retenciones_agro,contra
D035,Unión por la Patria,coparticipacion,favor
D035,Unión por la Patria,obra_publica_prov,favor
D035,Unión por la Patria,emergencia_jubilados,favor
D035,Unión por la Patria,financiamiento_univ,favor
D035,Unión por la Patria,salud_emergencia,ausente
D035,Unión por la Patria,boleta_unica,contra
D035,Unión por la Patria,ficha_limpia,favor
D035,Unión por la Patria,reforma_politica,contra
D035,Unión por la Patria,dnu_delegadas,contra
D035,Unión por la Patria,tarifas_energia,contra
D036,Unión por la Patria,ley_bases,contra
D036,Unión por la Patria,reforma_laboral,contra
D036,Unión por la Patria,presupuesto,contra
D036,Unión por la Patria,privatizaciones,contra
D036,Unión por la Patria,retenciones_agro,contra
D036,Unión por la Patria,coparticipacion,favor
D036,Unión por la Patria,obra_publica_prov,favor
D036,Unión por la Patria,emergencia_jubilados,favor
D036,Unión por la Patria,financiamiento_univ,favor
D036,Unión por la Patria,salud_emergencia,favor
D036,Unión por la Patria,boleta_unica,favor
D036,Unión por la Patria,ficha_limpia,favor
D036,Unión por la Patria,reforma_politica,contra
D036,Unión por la Patria,dnu_delegadas,contra
D036,Unión por la Patria,tarifas_energia,contra
D037,Unión por la Patria,ley_bases,contra
D037,Unión por la Patria,reforma_laboral,contra
D037,Unión por la Patria,presupuesto,contra
D037,Unión por la Patria,privatizaciones,contra
D037,Unión por la Patria,retenciones_agro,contra
D037,Unión por la Patria,coparticipacion,ausente
D037,Unión por la Patria,obra_publica_prov,favor
D037,Unión por la Patria,emergencia_jubilados,favor
D037,Unión por la Patria,financiamiento_univ,favor
D037,Unión por la Patria,salud_emergencia,favor
D037,Unión por la Patria,boleta_unica,contra
D037,Unión por la Patria,ficha_limpia,favor
D037,Unión por la Patria,reforma_politica,contra
D037,Unión por la Patria,dnu_delegadas,contra
D037,Unión por la Patria,tarifas_energia,contra
D038,Unión por la Patria,ley_bases,contra
D038,Unión por la Patria,reforma_laboral,ausente
D038,Unión por la Patria,presupuesto,favor
D038,Unión por la Patria,privatizaciones,contra
D038,Unión por la Patria,retenciones_agro,contra
D038,Unión por la Patria,coparticipacion,favor
D038,Unión por la Patria,obra_publica_prov,contra
D038,Unión por la Patria,emergencia_jubilados,favor
D038,Unión por la Patria,financiamiento_univ,favor
D038,Unión por la Patria,salud_emergencia,favor
D038,Unión por la Patria,boleta_unica,favor
D038,Unión por la Patria,ficha_limpia,contra
D038,Unión por la Patria,reforma_politica,favor
D038,Unión por la Patria,dnu_delegadas,contra
D038,Unión por la Patria,tarifas_energia,contra
D039,Unión por la Patria,ley_bases,contra
D039,Unión por la Patria,reforma_laboral,contra
D039,Unión por la Patria,presupuesto,contra
D039,Unión por la Patria,privatizaciones,contra
D039,Unión por la Patria,retenciones_agro,contra
D039,Unión por la Patria,coparticipacion,favor
D039,Unión por la Patria,obra_publica_prov,favor
D039,Unión por la Patria,emergencia_jubilados,favor
D039,Unión por la Patria,financiamiento_univ,favor
D039,Unión por la Patria,salud_emergencia,favor
D039,Unión por la Patria,boleta_unica,contra
D039,Unión por la Patria,ficha_limpia,contra
D039,Unión por la Patria,reforma_politica,contra
D039,Unión por la Patria,dnu_delegadas,contra
D039,Unión por la Patria,tarifas_energia,contra
D040,Unión por la Patria,ley_bases,contra
D040,Unión por la Patria,reforma_laboral,contra
D040,Unión por la Patria,presupuesto,contra
D040,Unión por la Patria,privatizaciones,contra
D040,Unión por la Patria,retenciones_agro,ausente
D040,Unión por la Patria,coparticipacion,contra
D040,Unión por la Patria,obra_publica_prov,favor
D040,Unión por la Patria,emergencia_jubilados,favor
D040,Unión por la Patria,financiamiento_univ,favor
D040,Unión por la Patria,salud_emergencia,favor
