encuesta,estrato,region,sexo,edad,nivel_educativo,cantidad_de_integrantes_en_el_hogar,voto,voto_anterior
Nacional,Buenos Aires,Región Metropolitana,masculino,48,prim,4,Milei,Fernández
Nacional,Córdoba,Región Pampeana,femenino,64,prim,1,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,33,sec,2,Bullrich,Otro/Blanco
Nacional,Buenos Aires,Región Metropolitana,masculino,22,sec,2,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,82,univ,2,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,50,univ,1,Otro/Blanco,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,59,univ,4,Bullrich,Macri
Nacional,Santa Fe,Región Pampeana,femenino,40,sec,5,Milei,Macri
Nacional,Mendoza,Región Cuyo,femenino,52,sec,3,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,30,prim,2,Bullrich,Macri
Nacional,Formosa,Región NEA,femenino,47,prim,1,Otro/Blanco,Fernández
Nacional,Misiones,Región NEA,masculino,69,prim,3,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,80,prim,6,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,64,prim,4,Otro/Blanco,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,22,sec,1,Bregman,Macri
Nacional,La Pampa,Región Pampeana,masculino,67,sec,2,Milei,Macri
Nacional,Córdoba,Región Pampeana,femenino,19,univ,3,Massa,Fernández
Nacional,Chaco,Región NEA,masculino,26,sec,3,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,31,terc,5,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,68,prim,4,Massa,Fernández
Nacional,Ciudad de Buenos Aires,Región Metropolitana,masculino,33,univ,2,Milei,Macri
Nacional,Ciudad de Buenos Aires,Región Metropolitana,masculino,29,prim,3,Bullrich,Macri
Nacional,Santa Fe,Región Pampeana,femenino,19,terc,4,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,53,terc,3,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,33,sec,1,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,29,sec,3,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,57,prim,2,Massa,Otro/Blanco
Nacional,Ciudad de Buenos Aires,Región Metropolitana,masculino,66,terc,3,Bregman,Fernández
Nacional,Santiago del Estero,Región NOA,masculino,83,univ,4,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,36,prim,3,Schiaretti,Lavagna
Nacional,Santa Fe,Región Pampeana,femenino,31,sec,5,Massa,Fernández
Nacional,Córdoba,Región Pampeana,femenino,35,sec,2,Bregman,Otro/Blanco
Nacional,Corrientes,Región NEA,femenino,48,sec,4,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,17,prim,4,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,45,terc,3,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,71,terc,2,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,71,univ,5,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,24,sec,1,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,19,prim,2,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,29,terc,3,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,57,sec,3,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,46,sec,2,Bullrich,Fernández
Nacional,Ciudad de Buenos Aires,Región Metropolitana,masculino,17,sec,2,Bullrich,Macri
Nacional,San Juan,Región Cuyo,masculino,19,prim,1,Bullrich,Fernández
Nacional,Tucumán,Región NOA,femenino,34,sec,2,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,22,sec,5,Bullrich,Macri
Nacional,Santiago del Estero,Región NOA,femenino,59,terc,4,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,82,sec,3,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,24,sec,3,Schiaretti,Macri
Nacional,Entre Ríos,Región Pampeana,femenino,29,sec,6,Bullrich,Macri
Nacional,Catamarca,Región NOA,femenino,47,sec,3,Milei,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,39,sec,1,Otro/Blanco,Fernández
Nacional,Santiago del Estero,Región NOA,femenino,20,sec,2,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,35,prim,2,Massa,Otro/Blanco
Nacional,Mendoza,Región Cuyo,masculino,19,prim,4,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,37,sec,4,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,32,prim,6,Otro/Blanco,Otro/Blanco
Nacional,Buenos Aires,Región Metropolitana,masculino,38,sec,3,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,27,prim,6,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,26,terc,6,Milei,Macri
Nacional,Santa Fe,Región Pampeana,masculino,33,sec,2,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,28,sec,2,Milei,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,32,univ,5,Milei,Macri
Nacional,Catamarca,Región NOA,masculino,36,sec,6,Otro/Blanco,Fernández
Nacional,Ciudad de Buenos Aires,Región Metropolitana,femenino,84,sec,5,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,47,prim,1,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,55,prim,5,Schiaretti,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,37,prim,5,Milei,Macri
Nacional,Corrientes,Región NEA,masculino,48,prim,4,Bullrich,Macri
Nacional,Formosa,Región NEA,masculino,47,sec,3,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,36,prim,4,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,26,prim,2,Schiaretti,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,57,univ,4,Schiaretti,Fernández
Nacional,Salta,Región NOA,femenino,16,terc,3,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,16,univ,4,Bullrich,Macri
Nacional,Ciudad de Buenos Aires,Región Metropolitana,femenino,20,sec,2,Massa,Lavagna
Nacional,Salta,Región NOA,masculino,34,sec,2,Schiaretti,Fernández
Nacional,Ciudad de Buenos Aires,Región Metropolitana,masculino,21,sec,3,Milei,Macri
Nacional,Ciudad de Buenos Aires,Región Metropolitana,femenino,28,terc,4,Milei,Macri
Nacional,Formosa,Región NEA,masculino,43,prim,2,Milei,Macri
Nacional,Santa Fe,Región Pampeana,femenino,18,sec,2,Milei,Macri
Nacional,Salta,Región NOA,masculino,37,sec,5,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,75,univ,4,Milei,Macri
Nacional,Corrientes,Región NEA,masculino,77,prim,2,Milei,Macri
Nacional,Mendoza,Región Cuyo,femenino,26,univ,2,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,32,pos,3,Massa,Fernández
Nacional,Catamarca,Región NOA,femenino,34,univ,2,Schiaretti,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,36,terc,2,Schiaretti,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,19,sec,2,Otro/Blanco,Lavagna
Nacional,Buenos Aires,Región Metropolitana,femenino,23,sec,2,Milei,Macri
Nacional,Ciudad de Buenos Aires,Región Metropolitana,masculino,22,prim,3,Milei,Lavagna
Nacional,Mendoza,Región Cuyo,femenino,31,terc,5,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,49,sec,4,Bullrich,Macri
Nacional,Salta,Región NOA,femenino,20,prim,3,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,38,univ,1,Milei,Macri
Nacional,Ciudad de Buenos Aires,Región Metropolitana,masculino,25,prim,2,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,34,sec,2,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,54,terc,6,Milei,Macri
Nacional,Santa Fe,Región Pampeana,femenino,71,sec,1,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,22,univ,3,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,21,prim,2,Massa,Fernández
Nacional,Santa Fe,Región Pampeana,femenino,25,sec,5,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,35,univ,1,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,46,sec,6,Schiaretti,Fernández
Nacional,Salta,Región NOA,masculino,55,sec,2,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,28,terc,2,Bullrich,Fernández
Nacional,San Juan,Región Cuyo,femenino,55,terc,2,Milei,Macri
Nacional,Formosa,Región NEA,femenino,58,sec,4,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,23,sec,2,Bullrich,Macri
Nacional,Chubut,Región Patagonia,femenino,39,sec,2,Schiaretti,Fernández
Nacional,Ciudad de Buenos Aires,Región Metropolitana,femenino,59,sec,5,Massa,Fernández
Nacional,Río Negro,Región Patagonia,femenino,84,sec,2,Milei,Fernández
Nacional,Córdoba,Región Pampeana,femenino,18,sec,5,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,28,prim,3,Milei,Macri
Nacional,Formosa,Región NEA,masculino,26,sec,1,Massa,Fernández
Nacional,Jujuy,Región NOA,masculino,28,univ,3,Milei,Macri
Nacional,La Pampa,Región Pampeana,femenino,19,sec,3,Bregman,Otro/Blanco
Nacional,Buenos Aires,Región Metropolitana,femenino,31,prim,3,Milei,Macri
Nacional,Catamarca,Región NOA,femenino,46,sec,2,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,20,prim,4,Milei,Otro/Blanco
Nacional,Buenos Aires,Región Metropolitana,femenino,16,terc,5,Bregman,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,49,prim,1,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,44,sec,2,Bullrich,Otro/Blanco
Nacional,Misiones,Región NEA,masculino,65,prim,4,Massa,Macri
Nacional,Córdoba,Región Pampeana,femenino,76,terc,3,Milei,Macri
Nacional,Córdoba,Región Pampeana,masculino,38,sec,5,Massa,Fernández
Nacional,Ciudad de Buenos Aires,Región Metropolitana,femenino,26,sec,2,Milei,Lavagna
Nacional,Chaco,Región NEA,masculino,29,prim,1,Milei,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,28,univ,3,Bullrich,Macri
Nacional,Río Negro,Región Patagonia,masculino,82,prim,1,Milei,Macri
Nacional,Tucumán,Región NOA,femenino,54,sec,2,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,62,pos,2,Bullrich,Macri
Nacional,Entre Ríos,Región Pampeana,masculino,42,univ,2,Milei,Fernández
Nacional,San Juan,Región Cuyo,masculino,27,univ,3,Otro/Blanco,Lavagna
Nacional,Buenos Aires,Región Metropolitana,femenino,36,sec,1,Massa,Fernández
Nacional,Mendoza,Región Cuyo,masculino,24,sec,3,Massa,Fernández
Nacional,Santa Fe,Región Pampeana,femenino,20,prim,5,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,57,prim,2,Massa,Fernández
Nacional,Entre Ríos,Región Pampeana,femenino,50,sec,3,Bullrich,Macri
Nacional,Salta,Región NOA,masculino,49,prim,2,Otro/Blanco,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,18,sec,4,Milei,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,23,sec,4,Schiaretti,Lavagna
Nacional,Ciudad de Buenos Aires,Región Metropolitana,femenino,55,sec,4,Milei,Otro/Blanco
Nacional,Santiago del Estero,Región NOA,masculino,46,sec,3,Bullrich,Macri
Nacional,Santiago del Estero,Región NOA,femenino,19,prim,2,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,27,sec,2,Milei,Lavagna
Nacional,Buenos Aires,Región Metropolitana,femenino,38,sec,5,Massa,Otro/Blanco
Nacional,Río Negro,Región Patagonia,femenino,35,sec,2,Bullrich,Macri
Nacional,Mendoza,Región Cuyo,femenino,22,sec,3,Milei,Fernández
Nacional,Ciudad de Buenos Aires,Región Metropolitana,masculino,60,sec,1,Milei,Fernández
Nacional,Santa Fe,Región Pampeana,masculino,18,terc,4,Milei,Fernández
Nacional,Córdoba,Región Pampeana,femenino,45,prim,2,Otro/Blanco,Otro/Blanco
Nacional,Misiones,Región NEA,femenino,17,sec,3,Massa,Fernández
Nacional,Ciudad de Buenos Aires,Región Metropolitana,femenino,49,prim,4,Schiaretti,Macri
Nacional,Ciudad de Buenos Aires,Región Metropolitana,femenino,25,univ,4,Milei,Macri
Nacional,Río Negro,Región Patagonia,femenino,48,sec,4,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,33,prim,6,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,20,sec,3,Milei,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,24,prim,3,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,18,pos,4,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,62,univ,2,Milei,Macri
Nacional,Santa Fe,Región Pampeana,masculino,72,univ,3,Massa,Fernández
Nacional,Neuquén,Región Patagonia,masculino,18,sec,3,Milei,Macri
Nacional,Córdoba,Región Pampeana,masculino,59,univ,2,Milei,Macri
Nacional,San Luis,Región Cuyo,masculino,26,sec,3,Otro/Blanco,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,17,sec,4,Otro/Blanco,Otro/Blanco
Nacional,Corrientes,Región NEA,masculino,23,sec,4,Otro/Blanco,Fernández
Nacional,Tucumán,Región NOA,masculino,27,sec,3,Massa,Lavagna
Nacional,Buenos Aires,Región Metropolitana,masculino,65,terc,4,Milei,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,20,sec,4,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,59,sec,6,Bregman,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,51,univ,2,Milei,Macri
Nacional,Córdoba,Región Pampeana,femenino,16,pos,2,Otro/Blanco,Fernández
Nacional,Mendoza,Región Cuyo,masculino,21,sec,4,Milei,Otro/Blanco
Nacional,Corrientes,Región NEA,masculino,60,univ,1,Bullrich,Macri
Nacional,Santiago del Estero,Región NOA,masculino,40,prim,3,Milei,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,41,sec,4,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,23,prim,1,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,38,prim,2,Milei,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,69,prim,4,Bullrich,Macri
Nacional,San Juan,Región Cuyo,femenino,18,prim,3,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,24,terc,4,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,54,terc,2,Milei,Fernández
Nacional,Córdoba,Región Pampeana,femenino,19,prim,3,Massa,Fernández
Nacional,Santa Fe,Región Pampeana,femenino,74,sec,5,Massa,Fernández
Nacional,Córdoba,Región Pampeana,masculino,37,univ,2,Bullrich,Macri
Nacional,Misiones,Región NEA,masculino,33,pos,4,Milei,Macri
Nacional,Tierra del Fuego,Región Patagonia,femenino,25,sec,4,Massa,Fernández
Nacional,Tucumán,Región NOA,masculino,29,sec,1,Bullrich,Macri
Nacional,Misiones,Región NEA,femenino,48,sec,4,Massa,Macri
Nacional,Neuquén,Región Patagonia,femenino,28,sec,3,Otro/Blanco,Macri
Nacional,Misiones,Región NEA,masculino,16,sec,2,Massa,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,49,prim,2,Schiaretti,Macri
Nacional,Catamarca,Región NOA,femenino,18,sec,5,Otro/Blanco,Macri
Nacional,Neuquén,Región Patagonia,femenino,20,sec,2,Bregman,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,83,sec,4,Bullrich,Macri
Nacional,Santa Fe,Región Pampeana,femenino,53,pos,3,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,36,sec,3,Otro/Blanco,Fernández
Nacional,San Juan,Región Cuyo,femenino,42,univ,1,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,16,sec,6,Milei,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,51,prim,2,Massa,Fernández
Nacional,Misiones,Región NEA,masculino,32,prim,1,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,22,sec,1,Bullrich,Macri
Nacional,Tucumán,Región NOA,masculino,17,terc,4,Bullrich,Otro/Blanco
Nacional,Buenos Aires,Región Metropolitana,masculino,17,univ,6,Bullrich,Macri
Nacional,Córdoba,Región Pampeana,masculino,21,prim,4,Massa,Fernández
Nacional,Formosa,Región NEA,femenino,38,univ,4,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,23,prim,3,Bullrich,Macri
Nacional,Santa Fe,Región Pampeana,masculino,18,sec,4,Massa,Fernández
Nacional,Salta,Región NOA,femenino,49,prim,3,Otro/Blanco,Fernández
Nacional,Córdoba,Región Pampeana,masculino,64,univ,4,Otro/Blanco,Fernández
Nacional,Santa Fe,Región Pampeana,femenino,18,sec,5,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,74,sec,4,Schiaretti,Lavagna
Nacional,Buenos Aires,Región Metropolitana,masculino,29,sec,4,Bullrich,Macri
Nacional,Salta,Región NOA,masculino,23,sec,5,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,39,sec,1,Schiaretti,Macri
Nacional,Córdoba,Región Pampeana,masculino,23,terc,4,Bullrich,Lavagna
Nacional,Buenos Aires,Región Metropolitana,masculino,72,sec,3,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,femenino,55,sec,3,Bullrich,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,41,prim,1,Otro/Blanco,Macri
Nacional,Corrientes,Región NEA,masculino,34,univ,5,Milei,Macri
Nacional,Mendoza,Región Cuyo,masculino,16,terc,2,Bullrich,Lavagna
Nacional,Ciudad de Buenos Aires,Región Metropolitana,masculino,42,sec,1,Bullrich,Macri
Nacional,Santa Fe,Región Pampeana,masculino,22,sec,6,Milei,Macri
Nacional,Buenos Aires,Región Metropolitana,femenino,51,prim,6,Schiaretti,Macri
Nacional,Buenos Aires,Región Metropolitana,masculino,41,sec,2,Massa,Fernández
Nacional,Misiones,Región NEA,femenino,39,sec,1,Milei,Fernández
Nacional,Entre Ríos,Región Pampeana,femenino,43,prim,3,Massa,Fernández
Nacional,Buenos Aires,Región Metropolitana,masculino,52,prim,4,Otro/Blanco,Fernández
Nacional,Jujuy,Región NOA,femenino,25,prim,2,Milei,Macri
